full_id,osm_id,osm_type,name:ru,name:en,name,lat,lon
n1042057591,"1042057591",node,,Shabanovo Airfield,Шабаново,57.7949982,28.2999992
n1042057605,"1042057605",node,,,Койда,66.3779984,42.5579987
n1042057615,"1042057615",node,Сосновка,Sosnovka,Сосновка,66.5039978,40.5779991
n1042057621,"1042057621",node,,Tetrino,,66.0587671,38.2826328
n1042057625,"1042057625",node,,Chavan'ga,Чаваньга,66.1139544,37.7348728
n1042057633,"1042057633",node,,Chapoma Airport,,66.1149979,38.8250008
n1042057654,"1042057654",node,,Vokhma Airport,Вохма,58.9197950,46.7237662
n1042057698,"1042057698",node,,,Аэродром Рыдома,54.2620073,37.2539993
n1042057723,"1042057723",node,Аэродром Ахты,Akhty Airfield,Аэродром Ахты,41.4744544,47.7015209
n1042057734,"1042057734",node,Аэроклуб Медынь,Medyn Airclub,Аэроклуб Медынь,54.9461704,35.8526118
n1042057771,"1042057771",node,,,Никитино,56.8060000,37.6900000
n1042057779,"1042057779",node,Аэродром Кольчугино,Kolchugino Airport,Аэродром Кольчугино,56.2820000,39.4730000
n1042057788,"1042057788",node,,,Аэродром Алферьево,56.0973117,35.8799784
n1042057793,"1042057793",node,,,Аэродром Шувое,55.4590000,39.0370000
n1042057798,"1042057798",node,,Oyok Airfield,Аэродром Оёк,52.5510000,104.4500000
n1042057879,"1042057879",node,,Udskoye Airport,Удское,54.5207198,134.4232652
n1042057962,"1042057962",node,,Rozhdestveno Airfield,Аэродром Рождествено,53.2500000,50.0530000
n1042058082,"1042058082",node,Бурный,Burniy Airfield,Бурный,60.6111236,30.4761518
n1042058090,"1042058090",node,,Bolshoy Lutsk Airstrip,Большой Луцк,59.4127111,28.5786259
n1042058145,"1042058145",node,Аэродром Монино,Monino Airfield,Аэродром Монино,55.8370557,38.1706108
n1042058151,"1042058151",node,,,Аэродром Буденновск (Покойное),44.8582000,44.1829000
n1042058154,"1042058154",node,Аэродром Махачкала-1,Makhachkala-1 Airfield,Аэродром Махачкала-1,43.0127469,47.4371007
n1042058155,"1042058155",node,Аэропорт Хунзах,Khunzakh Airport,Аэропорт Хунзах,42.5703389,46.7290592
